nano_market,cluster,hotspot_name,latitude,longitude,Demand near hotspot,Idle near hotspot,Demand near hotspot (Y/N),Idle near hotspot (Y/N),Demand category,Idle category,Avg idle time near hotspot
canduer signature,varthur,utopia candeur signature,12.93088,77.74221,234,119,Yes,Yes,Yes,Yes,1.1
smondoville,electronic city 1,smondo 2,12.82,77.66,163,30,Yes,Yes,Yes,Moderate,2.2
pfr towers,sarjapur,pfr towers gate,12.89826,77.66743,100,10,Yes,Yes,Moderate,Sparse,1.0
mvr pride,varthur,ecolife mvr pride road,12.93423,77.73042,23,78,Yes,Yes,No,Yes,1.14
owners court 2,sarjapur,owners court 2 hs2,12.90202,77.6701,185,19,Yes,Yes,Yes,Moderate,1.05
prestige lakeside habitat,varthur,prestige gate plh,12.92895965085842,77.73985966854721,78,419,Yes,Yes,Moderate,Yes,1.76
mynha meadows,varthur,mynha meadows hs,12.92343,77.736,74,15,Yes,Yes,Sparse,Moderate,1.07
shanthi garden,segehalli,shanthi hs,13.0104,77.75922,28,7,Yes,Yes,No,Sparse,1.0
amblipura trinity,sarjapur,khatey petay,12.91647,77.67328,165,93,Yes,Yes,Yes,Yes,1.78
genesis apartments,bellandur,suncitylane peri bake house,12.92652,77.662408,72,6,Yes,Yes,Sparse,Sparse,1.0
itpl hoodi,hoodi,itpl hoodi,12.99238,77.71574,85,19,Yes,Yes,Moderate,Moderate,0.95
avantika gardens,bagaluru prod test,bagalur bamboo,13.10417,77.6877,5,0,Yes,No,No,No,0.0
owners court 1,sarjapur,owners coart 1 hs1,12.90728,77.67573,150,47,Yes,Yes,Yes,Yes,0.98
concorde midway,singasandra,concorde krishna mystiq,12.86492,77.65483,65,26,Yes,Yes,Sparse,Moderate,1.04
sector 4 hsr,hsr,sector 4 hsr tree park,12.91038,77.64012,3,0,Yes,No,No,No,0.0
mana capitol,sarjapur,mana uber verdant,12.9059,77.69728,57,20,Yes,Yes,Sparse,Moderate,1.0
sobha dream gardens,thannisandra,sobha entrance,13.09926,77.64186,0,0,No,No,No,No,0.0
sector 6 hsr,hsr,sector 6 hsr jagrati udyana,12.91524,77.63005,7,0,Yes,No,No,No,0.0
ajmera infinity,electronic city 1,ajmera infinity hs1,12.84175,77.64779,302,184,Yes,Yes,Yes,Yes,1.3
sjr/bren/owners court new,sarjapur,bren edge waters,12.90197,77.67014,185,19,Yes,Yes,Yes,Moderate,1.05
owners court 3,sarjapur,owners court 3 hs1,12.90244,77.67605,134,24,Yes,Yes,Moderate,Moderate,1.0
prakruthi solitaire,electronic city 2,prakruthi solitaire,12.83671,77.6947,27,8,Yes,Yes,No,Sparse,2.0
prestige sunrise,electronic city 1,shriram summit hs1,12.83554,77.66617,135,90,Yes,Yes,Moderate,Yes,1.74
100 feet road,indiranagar,100 feet nandana palace,12.9622,77.64192,25,22,Yes,Yes,No,Moderate,1.0
astro maison,sarjapur,astro apurva elite,12.90651,77.69048,0,3,No,Yes,No,No,1.0
house of hiranandani,hulimavu,ds max road,12.87537,77.61694,112,30,Yes,Yes,Moderate,Moderate,1.03
govinda palya,electronic city 2,govinda palya ec 2,12.85158,77.67632,4,19,Yes,Yes,No,Moderate,1.0
salarpuria new 1,sarjapur,veeru apartments,12.91087,77.68092,204,27,Yes,Yes,Yes,Moderate,0.96
shriram summit,electronic city 1,gesture alta vista,12.83862,77.67394,12,24,Yes,Yes,No,Moderate,1.04
rainbow residency,sarjapur,augusta grand,12.90873,77.69037,16,5,Yes,Yes,No,Sparse,1.0
pfr new,sarjapur,ozone evergreens,12.90968,77.66344,69,23,Yes,Yes,Sparse,Moderate,1.0
ncc nagarjuna woods,bellandur,ncc nagarjuna woods,12.93864,77.69396,92,77,Yes,Yes,Moderate,Yes,1.04
salarpuria new 2,sarjapur,sattva salarpuria,12.91116,77.68301,250,48,Yes,Yes,Yes,Yes,1.06
amblipura springfields,sarjapur,dnr arista,12.92265,77.67457,86,38,Yes,Yes,Moderate,Moderate,1.05
vanshee richfields,marathahalli,vanshee richfields,12.9599,77.70129,33,97,Yes,Yes,No,Yes,1.02
nikoo homes,thannisandra,nikoo hs 1,13.08469,77.64414,271,27,Yes,Yes,Yes,Moderate,1.04
purva skydale,sarjapur,nd passion,12.89356,77.65789,123,19,Yes,Yes,Moderate,Moderate,1.0
subhodaya laurus,segehalli,subhodaya keerthi residency,13.00754,77.75738,32,9,Yes,Yes,No,Sparse,1.0
prestige elysian,hulimavu,prestige elysian hs,12.87322,77.59404,26,60,Yes,Yes,No,Yes,0.98
pnr felicity kudlu,kudlu,pnr kudlu,12.89648,77.65392,41,7,Yes,Yes,Sparse,Sparse,1.14
eshwara layout,indiranagar,eshwara indra nagar kfc,12.97936,77.63622,16,20,Yes,Yes,No,Moderate,1.2
adarsh palm north,bellandur,adarsh palm north,12.92079,77.69598,144,41,Yes,Yes,Moderate,Yes,1.0
koralur,whitefield 2,koralur hs1,12.98408,77.77325,73,56,Yes,Yes,Sparse,Yes,1.02
brookfield millennium,brookefield,millennium water tank park,12.9667,77.71573,67,8,Yes,Yes,Sparse,Sparse,1.62
silver oak,whitefield 1,silver oak,12.98213,77.74388,144,20,Yes,Yes,Moderate,Moderate,1.15
golden grand,yeswanthpur,taj yeshwantpur,13.02767,77.54775,93,92,Yes,Yes,Moderate,Yes,1.08
nagondanahalli,whitefield 2,nagondanahalli mangolia aprt,12.97382,77.76692,106,5,Yes,Yes,Moderate,Sparse,1.0
hamilton homes,rayasandra,nirmala vidyalaya rd,12.8677,77.69565,0,0,No,No,No,No,0.0
sector 1 hsr,hsr,1st sector hsr,12.917666643890719,77.65073286720182,25,16,Yes,Yes,No,Moderate,1.0
vaishnavi gardenia,yeswanthpur,gardenia pipe line park,13.04713,77.52033,2,22,Yes,Yes,No,Moderate,1.14
foyer infinity,whitefield 1,lennar edifice,12.97782,77.73728,73,11,Yes,Yes,Sparse,Sparse,1.18
white meadows,whitefield 2,prestige white meadows,12.97455,77.75098,17,8,Yes,Yes,No,Sparse,1.0
adarsh palm towers,bellandur,adarsh palm towers,12.91704,77.68928,147,4,Yes,Yes,Moderate,No,1.0
ecolife,varthur,balagerehs1,12.937111,77.725972,362,209,Yes,Yes,Yes,Yes,1.22
smondoville,electronic city 1,smondoville road,12.82202,77.65786,244,85,Yes,Yes,Yes,Yes,1.09
pfr towers,sarjapur,pfr towers hs2,12.90373,77.66214,96,51,Yes,Yes,Moderate,Yes,1.08
owners court 2,sarjapur,owners coart 2 hs1,12.89893,77.67496,155,34,Yes,Yes,Yes,Moderate,0.97
prestige lakeside habitat,varthur,prestige lakeside habitat,12.93155,77.74127,35,179,Yes,Yes,No,Yes,1.13
amblipura trinity,sarjapur,trinity skyline,12.91985,77.66639,39,5,Yes,Yes,No,Sparse,1.0
mana capitol,sarjapur,mana capitol dmart vrr fortuna,12.90448,77.70452,93,24,Yes,Yes,Moderate,Moderate,1.0
sector 6 hsr,hsr,sector 6 hsr bda park,12.91252,77.63061,7,0,Yes,No,No,No,0.0
sjr/bren/owners court new,sarjapur,purva skywood,12.908295,77.675728,131,42,Yes,Yes,Moderate,Yes,1.02
prestige sunrise,electronic city 1,milan ground,12.83022,77.66395,78,27,Yes,Yes,Moderate,Moderate,0.85
salarpuria new 1,sarjapur,sunshine salarpuria,12.91443,77.67687,131,97,Yes,Yes,Moderate,Yes,0.99
shriram summit,electronic city 1,veerasandra road,12.83589,77.67004,94,13,Yes,Yes,Moderate,Sparse,1.0
rainbow residency,sarjapur,rainbow junnasadra,12.90842,77.68366,91,42,Yes,Yes,Moderate,Yes,1.07
pfr new,sarjapur,purva,12.89338,77.66177,160,10,Yes,Yes,Yes,Sparse,0.9
salarpuria new 2,sarjapur,sattva signet,12.90893,77.68046,160,22,Yes,Yes,Yes,Moderate,0.91
amblipura springfields,sarjapur,akme harmony,12.92172,77.67175,55,4,Yes,Yes,Sparse,No,3.0
purva skydale,sarjapur,lake side park,12.89771,77.6614,34,3,Yes,Yes,No,No,1.0
brookfield millennium,brookefield,millennium aecs layout,12.969394,77.711779,44,113,Yes,Yes,Sparse,Yes,1.31
hamilton homes,rayasandra,rayasandra main rd,12.86742,77.69095,0,5,No,Yes,No,Sparse,1.0
ecolife,varthur,ecolife balagere,12.937963,77.728752,123,77,Yes,Yes,Moderate,Yes,1.25
owners court 2,sarjapur,century craft,12.89645,77.67806,128,6,Yes,Yes,Moderate,Sparse,2.17
amblipura trinity,sarjapur,trinity sjr redwoods,12.91477,77.66707,19,1,Yes,Yes,No,No,1.0
sjr/bren/owners court new,sarjapur,oceanus monarda`,12.90726,77.67572,149,47,Yes,Yes,Moderate,Yes,0.98
pfr new,sarjapur,pariwar,12.898,77.66726,100,11,Yes,Yes,Moderate,Sparse,1.0
pfr new,sarjapur,shriram woods,12.90874,77.66843,87,11,Yes,Yes,Moderate,Sparse,1.0
pfr new,sarjapur,prestige,12.90358,77.66278,150,54,Yes,Yes,Yes,Yes,1.07
